;title;source;number_of_citations
0;Война и мир;О Толстого - М.: Просвещение, 1987 - cbspodolsk.ru;75
1;Информационная война и мир;ИН Панарин, ЛГ Панарина - 2003 - elibrary.ru;204
2;Холодная война, холодный мир;ВО Рукавишников - 2005 - elibrary.ru;152
3;Война и мир;ЕА Ручьевская - 2010 - elibrary.ru;43
4;Война и мир языков и культур;СГ Тер-Минасова - 2008 - philology.bsu.by;2031
5;Война и мир;ЛН Толстой, БМ Эйхенбаум - 1936 - knjizare-vulkan.rs;46
6;Несколько слов по поводу книги «Война и мир»;Л Толстой - 2017 - books.google.com;58
7;"Пастер: Война и мир микробов, с приложением"" Несводимого""";Б Латур - 2015 - elibrary.ru;108
8;Война и мир Михаила Тухачевского;Ю Кантор - 2005 - wwii.rhga.ru;48
9;«Война и мир» в условиях новой социальной реальности (к вопросу о военной и национальной безопасности России);АВ Верещагина, СИ Самыгин - … и муниципальное управление …, 2015 - cyberleninka.ru;62
